frame,shoulder_x,shoulder_y,elbow_x,elbow_y,wrist_x,wrist_y,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y,elbow_angle,shoulder_angle,hip_angle,knee_angle
1,0.7165998816490173,0.19986195862293243,0.7165061831474304,0.3954208791255951,0.7363779544830322,0.6008021235466003,0.5282494425773621,0.3484305739402771,0.3722509741783142,0.4741818904876709,0.20220515131950378,0.5318664312362671,170.19126759615898,66.02465090248585,179.5353574119689,166.4119263647498
2,0.7171223163604736,0.20275191962718964,0.7165511846542358,0.3962816596031189,0.7369303107261658,0.6000252962112427,0.5299304127693176,0.3543248176574707,0.3719167709350586,0.4731660783290863,0.20221032202243805,0.5313296318054199,169.61649703709813,65.21169876508728,178.44325327959746,167.98098555795966
3,0.7171155214309692,0.20363856852054596,0.716530978679657,0.39560550451278687,0.7373864650726318,0.5952355861663818,0.5318021178245544,0.3560605049133301,0.37453049421310425,0.47188377380371094,0.20195847749710083,0.5311321020126343,169.16842810751382,64.86168616189863,177.6738826310003,168.42839029217714
4,0.7174326181411743,0.2044101357460022,0.7165272235870361,0.3955756723880768,0.7388724088668823,0.5951559543609619,0.534847617149353,0.3599972426891327,0.3747215270996094,0.47178640961647034,0.20195487141609192,0.5303357243537903,168.2604668200038,63.90797400761736,175.8302882721602,169.3527337058915
5,0.7173928022384644,0.2076909989118576,0.712638258934021,0.39583978056907654,0.7367843985557556,0.5970996022224426,0.5381050109863281,0.3694104552268982,0.37490177154541016,0.4725261926651001,0.2018764615058899,0.531151294708252,165.38759983543923,60.525370482469896,172.66290113082636,171.22523635592822
6,0.719036877155304,0.21887178719043732,0.7112978100776672,0.39752086997032166,0.7340856790542603,0.5990993976593018,0.5419285893440247,0.38694843649864197,0.376647412776947,0.4778536856174469,0.20193947851657867,0.5334364771842957,164.23265341059405,57.50217783357629,169.09688500480192,172.95524759585322
7,0.7203752994537354,0.23049671947956085,0.7085084319114685,0.407034695148468,0.7341660857200623,0.6036871075630188,0.5427743792533875,0.3925612270832062,0.3791988492012024,0.4832034707069397,0.20197440683841705,0.5357508063316345,160.12649795506093,56.01424646204304,170.14107673837327,172.15657797958002
8,0.7252920269966125,0.2355298101902008,0.7051786780357361,0.4056072533130646,0.7343777418136597,0.6036677956581116,0.5448881983757019,0.3939102292060852,0.38172781467437744,0.4829055368900299,0.20261646807193756,0.5364356637001038,153.44079718436473,51.84547332282742,170.77515371949588,172.48611757736916
9,0.7266851663589478,0.2416677474975586,0.69837486743927,0.40496131777763367,0.7343919277191162,0.5987221002578735,0.5465396046638489,0.3951990604400635,0.3834399878978729,0.4839237332344055,0.2025403082370758,0.5364158749580383,144.58325944316758,47.257000610386065,171.4008853825601,172.25635547704144
10,0.7323357462882996,0.2582342326641083,0.6954251527786255,0.40850886702537537,0.7320636510848999,0.595599353313446,0.5465600490570068,0.4113873839378357,0.3836495280265808,0.4889456331729889,0.2026648372411728,0.5375492572784424,137.21561878020265,41.53277342636229,170.11343541842544,173.5984291724758
11,0.7340379953384399,0.2756650447845459,0.692360520362854,0.4145071804523468,0.7320547103881836,0.5930192470550537,0.5468186140060425,0.42101114988327026,0.3834577798843384,0.4906248450279236,0.20316515862941742,0.5377477407455444,130.34399099528983,38.32282727895954,169.889013471037,174.88419456136893
12,0.7385203242301941,0.2963278591632843,0.6912861466407776,0.4144943654537201,0.726784884929657,0.5915911197662354,0.5482453107833862,0.42535755038261414,0.3837413489818573,0.4932531416416168,0.20411500334739685,0.5373440980911255,124.9878605415603,33.722476247107245,172.19122396728534,174.79091477701274
13,0.7412071824073792,0.308301717042923,0.6893696188926697,0.41393905878067017,0.7264276742935181,0.584337055683136,0.5502115488052368,0.43343040347099304,0.3858064115047455,0.4972969889640808,0.2054835855960846,0.5373767018318176,117.76127869185099,28.669645603182126,172.09659247352198,174.8001939357376
14,0.7429234385490417,0.32520511746406555,0.6873077750205994,0.4185139834880829,0.7267078161239624,0.5845226049423218,0.5498582720756531,0.4365314543247223,0.3855675756931305,0.5003604292869568,0.20653866231441498,0.5369895100593567,110.46532907656764,25.37124355868289,174.35693521884411,174.2375950864477
15,0.7459449172019958,0.3486050069332123,0.684594988822937,0.4205330014228821,0.726756751537323,0.5846756100654602,0.5519006848335266,0.4480033814907074,0.3853799104690552,0.5057157874107361,0.2070503532886505,0.5370413661003113,98.860960198102,17.330622818709536,174.9577300359241,174.61159447896057
16,0.7495211362838745,0.3675785958766937,0.682293713092804,0.42045125365257263,0.7269170880317688,0.5849910378456116,0.5544226765632629,0.4522159695625305,0.38675400614738464,0.5122053623199463,0.20841626822948456,0.5370332598686218,88.12385339687528,10.150728430454608,177.6655316103865,173.09869946055247
17,0.7537880539894104,0.38663843274116516,0.680807888507843,0.41993993520736694,0.7271621227264404,0.5852113366127014,0.5554449558258057,0.46463102102279663,0.38636305928230286,0.5198225378990173,0.2083907574415207,0.5380667448043823,77.89382684770256,1.9233115871175896,177.9319770116634,172.89594924155458
18,0.7577788233757019,0.3999479413032532,0.6815716624259949,0.4196909964084625,0.7272898554801941,0.5875917673110962,0.5617215037345886,0.47762224078178406,0.38908299803733826,0.5304309129714966,0.20987549424171448,0.5420436859130859,72.4606745967148,4.271996792358897,177.19974843552654,172.32458494363163
19,0.7674424052238464,0.42006146907806396,0.6825207471847534,0.4193311035633087,0.727317214012146,0.5909867286682129,0.5634555220603943,0.4974058270454407,0.38908451795578003,0.536442756652832,0.21002472937107086,0.5444475412368774,64.83427823991495,12.31680089272705,175.1377692398957,174.26308428009796
20,0.7685173153877258,0.4293532073497772,0.6836054921150208,0.41914159059524536,0.7275169491767883,0.5930891036987305,0.562474250793457,0.4994753897190094,0.3890730142593384,0.5462079048156738,0.2112637162208557,0.5460692048072815,61.96023875788362,14.707261472843882,177.78294368423036,171.3546492384328
21,0.7678024172782898,0.44372230768203735,0.6866029500961304,0.4202856123447418,0.7306503057479858,0.5960779190063477,0.5636110901832581,0.5118235349655151,0.3898743689060211,0.5484365224838257,0.21439333260059357,0.5506454110145569,56.76769945550181,19.84715867220274,176.1349469664381,173.64536544143863
22,0.7719129920005798,0.46301189064979553,0.690940797328949,0.42051461338996887,0.7321212887763977,0.6002670526504517,0.5633039474487305,0.5148300528526306,0.3897337317466736,0.5527745485305786,0.21421775221824646,0.5510153770446777,51.39213929077636,24.401831398364656,179.0563106743094,172.6665601557141
23,0.7724753618240356,0.4759790003299713,0.6952203512191772,0.42189937829971313,0.7322949171066284,0.6016281843185425,0.564021110534668,0.5201401710510254,0.39083510637283325,0.5534881949424744,0.21580570936203003,0.5519099235534668,48.36850653974133,28.28810481982788,179.38610590869254,173.52762082679016
24,0.7718650102615356,0.4776965081691742,0.6960469484329224,0.41906195878982544,0.7316948175430298,0.601590633392334,0.5645745396614075,0.5219348073005676,0.3907538950443268,0.5542123317718506,0.216748908162117,0.5518115162849426,47.34326466673698,30.355001302884858,179.11782198235724,173.59223580972736
25,0.7726492285728455,0.4828232228755951,0.6961244344711304,0.41903114318847656,0.7313616275787354,0.6015540957450867,0.5643864870071411,0.5216091871261597,0.39065393805503845,0.5555785894393921,0.21656860411167145,0.5516137480735779,45.93498198385734,31.102585312636617,179.7039666845107,172.98962978753235
26,0.7737572193145752,0.486338347196579,0.6972440481185913,0.41928818821907043,0.731381356716156,0.6026799082756042,0.5643571615219116,0.5224947929382324,0.390502005815506,0.5568526983261108,0.21642102301120758,0.5521278381347656,45.44931268087707,31.787575206196816,179.2043097908761,172.78217191078798
27,0.7743121981620789,0.48454347252845764,0.6973485350608826,0.41926780343055725,0.7315744161605835,0.6032816171646118,0.5646918416023254,0.5193595290184021,0.39058732986450195,0.5563219785690308,0.21770115196704865,0.5522248148918152,46.19829631638359,30.84215131600349,178.52748131854565,172.4263133738968
28,0.773999810218811,0.48251602053642273,0.6982142925262451,0.41928866505622864,0.7314967513084412,0.6034861207008362,0.5645545721054077,0.5173860192298889,0.3905431032180786,0.5553528666496277,0.21865002810955048,0.5521906614303589,47.0514897996796,30.490295496671813,178.35320293239073,172.4102317912733
29,0.7739912271499634,0.48579463362693787,0.6988413333892822,0.41919270157814026,0.7298093438148499,0.6034217476844788,0.5644644498825073,0.5170121192932129,0.3905229866504669,0.5549246668815613,0.21819601953029633,0.5516802072525024,46.864881241537354,31.287687765382906,177.8008273893227,172.40346646400093
30,0.773659884929657,0.48026642203330994,0.6981610655784607,0.4219822287559509,0.7313318252563477,0.6035205125808716,0.5645694732666016,0.5159579515457153,0.3918952941894531,0.5548230409622192,0.219045028090477,0.5516338348388672,48.531743334387265,28.957198266553842,178.26901567731426,172.18976832173536
31,0.7734187245368958,0.4779057204723358,0.6973422765731812,0.4232529103755951,0.7320004105567932,0.6034516096115112,0.5644357204437256,0.5158256888389587,0.39148226380348206,0.5573124885559082,0.21858541667461395,0.5530345439910889,49.11970566188247,27.83119707368767,178.1433330888739,171.51820418806187
