frame,shoulder_x,shoulder_y,elbow_x,elbow_y,wrist_x,wrist_y,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y,elbow_angle,shoulder_angle,hip_angle,knee_angle
1,0.6286969780921936,0.44902557134628296,0.6340562105178833,0.6319807767868042,0.6576269865036011,0.8252514600753784,0.46698692440986633,0.5694499611854553,0.3187713027000427,0.6869761943817139,0.15268529951572418,0.7506340146064758,170.7478940578833,70.25270530562172,178.69005054064016,168.128260411511
2,0.6300324201583862,0.44878044724464417,0.6336812973022461,0.6242359280586243,0.6562416553497314,0.8231239318847656,0.4686075448989868,0.569550633430481,0.3206828832626343,0.6848952770233154,0.15365128219127655,0.7506070137023926,170.71612864661452,69.29430029137767,179.1402815813013,168.79526121155538
3,0.6301072239875793,0.4489453434944153,0.6332591772079468,0.6244494915008545,0.6548671126365662,0.8232059478759766,0.46864187717437744,0.5697364211082458,0.32010096311569214,0.684485912322998,0.15355509519577026,0.7511930465698242,170.88989894979954,69.00724301287741,179.3347167415073,169.20998521596883
4,0.6301305890083313,0.4484312832355499,0.6312476992607117,0.6178457140922546,0.6540343761444092,0.8223885297775269,0.4675583839416504,0.5698739886283875,0.3180137872695923,0.6864427924156189,0.15286192297935486,0.7526216506958008,169.4691760599919,67.87987258017809,179.11602026911484,169.02658965967632
5,0.632336437702179,0.4558447301387787,0.6311416029930115,0.6205657124519348,0.6541051268577576,0.8226808309555054,0.468662828207016,0.5848793983459473,0.3174975514411926,0.6906707286834717,0.15269552171230316,0.7528157830238342,167.84198684485386,65.34601939193065,177.57237586889195,170.48811949018773
6,0.6356222629547119,0.46461233496665955,0.6310414671897888,0.6269621849060059,0.6543397903442383,0.8235882520675659,0.4690030813217163,0.5896316766738892,0.3173331916332245,0.6936048865318298,0.1523275226354599,0.7528718709945679,165.23295851802345,64.24570260508793,178.2042865458236,170.33527888432963
7,0.6373878121376038,0.4736576974391937,0.6310543417930603,0.6496996283531189,0.6556724905967712,0.8243393301963806,0.4690476655960083,0.5990085601806641,0.31597763299942017,0.6980499029159546,0.15115663409233093,0.752892017364502,162.2715235261441,63.61384841789598,177.27273577029376,170.60182155405928
8,0.6371763944625854,0.478329062461853,0.6285388469696045,0.6490681171417236,0.6557530164718628,0.8248032331466675,0.4681549370288849,0.6039230823516846,0.3141622841358185,0.7002152800559998,0.15074093639850616,0.7538416385650635,159.46836208047407,62.17717831928881,176.69479973699998,171.0796459698473
9,0.6378715634346008,0.48001885414123535,0.6250870227813721,0.6473939418792725,0.655673623085022,0.8248452544212341,0.46821609139442444,0.6107451319694519,0.31369832158088684,0.7015177607536316,0.15004250407218933,0.7542718052864075,155.23046445281642,58.83374570175562,174.85258526709816,171.9913672318681
10,0.6377193331718445,0.48893070220947266,0.6224578022956848,0.6464788317680359,0.6558707356452942,0.8248379230499268,0.46824321150779724,0.618445873260498,0.31382739543914795,0.7064144015312195,0.15039297938346863,0.7545610070228577,151.8090071370031,56.96754603471647,174.50667276190245,171.6409243794715
