frame,shoulder_x,shoulder_y,elbow_x,elbow_y,wrist_x,wrist_y,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y,elbow_angle,shoulder_angle,hip_angle,knee_angle
1,0.7199409008026123,0.3813576102256775,0.678866982460022,0.5916939973831177,0.6722047924995422,0.8205928802490234,0.49450042843818665,0.48971474170684814,0.32857295870780945,0.613807737827301,0.15438351035118103,0.7119969129562378,163.8170723326279,55.72607585336159,172.31348819054415,174.77710724908573
2,0.7169612050056458,0.3699943721294403,0.6787912249565125,0.5852192044258118,0.6723512411117554,0.8203834295272827,0.4926052689552307,0.4921925961971283,0.3273402154445648,0.6139063239097595,0.1543576419353485,0.7119819521903992,165.2877954197839,55.46695108950017,174.5309797928093,175.18585697428728
3,0.7165490984916687,0.36630040407180786,0.6794773936271667,0.5816841125488281,0.6733599901199341,0.8188574314117432,0.4926336705684662,0.49147355556488037,0.3282346725463867,0.6139066815376282,0.15435169637203217,0.7120662331581116,165.61182608260418,55.530732247915644,174.72631165233707,174.88733832005175
4,0.7152951955795288,0.3670177459716797,0.6794742345809937,0.5818868279457092,0.6737090349197388,0.8187240958213806,0.4926488697528839,0.49484720826148987,0.3281311094760895,0.6137407422065735,0.15286654233932495,0.7123639583587646,165.96947724466892,55.593556287145944,175.77588153835305,175.4417803014236
5,0.7148213982582092,0.36409422755241394,0.6793585419654846,0.5779102444648743,0.6747561097145081,0.8193055987358093,0.4917546808719635,0.494928777217865,0.3281327188014984,0.6142354011535645,0.15421825647354126,0.7120903730392456,165.51279476111688,55.31267884513704,175.9577025031276,175.26131326888577
6,0.714770495891571,0.36224475502967834,0.6795955896377563,0.5743412971496582,0.6748442053794861,0.8191463351249695,0.49261942505836487,0.49509677290916443,0.32856956124305725,0.6142325401306152,0.15430691838264465,0.7122149467468262,165.54890219511424,54.98032439899169,176.3725274975805,175.33105147348195
7,0.7150610089302063,0.36263594031333923,0.6796443462371826,0.5746002793312073,0.6749157309532166,0.81864994764328,0.4926198720932007,0.494631290435791,0.32841333746910095,0.6140123009681702,0.15430252254009247,0.7121526002883911,165.42901415158894,54.998002835557756,176.2162316160679,175.3498669869348
8,0.7152568697929382,0.36225050687789917,0.6800318360328674,0.5748204588890076,0.6749279499053955,0.8185997009277344,0.4926260709762573,0.4939998388290405,0.3286486566066742,0.613823413848877,0.15402692556381226,0.7122482657432556,165.71682259386003,55.17374140611401,176.0670210622769,175.24679687961856
9,0.7152949571609497,0.36235931515693665,0.6805650591850281,0.5755183100700378,0.6750668287277222,0.8186928629875183,0.49286526441574097,0.4954325258731842,0.32913896441459656,0.6146456599235535,0.15463808178901672,0.7122191190719604,166.14802622918683,55.24671176900155,176.32695892662773,175.18718266689854
10,0.7144140601158142,0.36971381306648254,0.6809188723564148,0.5803737044334412,0.6747303605079651,0.8186970353126526,0.49287375807762146,0.49962615966796875,0.3294535279273987,0.6160578727722168,0.1547803282737732,0.7121543884277344,166.85913982301267,55.96076690094192,176.41618177650162,175.35607778598316
11,0.714430034160614,0.3707996606826782,0.6814393997192383,0.5804293751716614,0.6747564673423767,0.8181995749473572,0.4928905665874481,0.49968039989471436,0.32974231243133545,0.6176332235336304,0.1549568772315979,0.712091863155365,167.23003415546899,56.24959409310901,175.98950487387586,174.77834467287298
12,0.7143779397010803,0.37079253792762756,0.681648313999176,0.5757137537002563,0.6748728156089783,0.8172940015792847,0.4931660592556,0.5010053515434265,0.33083537220954895,0.6198164224624634,0.15655487775802612,0.7123193144798279,167.00289783172326,55.82841445727228,175.9431770955919,174.2465583360788
13,0.7148034572601318,0.371601939201355,0.6815403699874878,0.5749647617340088,0.6744504570960999,0.8172459006309509,0.4941435158252716,0.5008864998817444,0.3313482999801636,0.6196824312210083,0.1588740348815918,0.7115904092788696,166.76452340956592,55.54589483203472,175.9238647961876,174.36909368412574
14,0.7152135372161865,0.3722369372844696,0.6818697452545166,0.5746915340423584,0.674641489982605,0.815409243106842,0.4947187006473541,0.5016291737556458,0.3314525783061981,0.6200556755065918,0.15879850089550018,0.7115177512168884,166.73591141254695,55.41265347809983,176.0713779422855,174.3968302786815
15,0.7153481245040894,0.37699392437934875,0.6807576417922974,0.5748524069786072,0.6742202043533325,0.8158606886863708,0.4948329031467438,0.5030479431152344,0.33165857195854187,0.620961606502533,0.15806809067726135,0.7118014097213745,165.49564293771252,54.9099225361061,175.70433437961168,174.2815478425694
16,0.7160851359367371,0.37746307253837585,0.6794131398200989,0.5756621360778809,0.673731803894043,0.8170143365859985,0.49547892808914185,0.5060485601425171,0.3330475389957428,0.6213446259498596,0.15812654793262482,0.7118809819221497,164.1884681958981,53.639568927874656,176.38721210494268,174.46709133048262
17,0.7166448831558228,0.378050297498703,0.6778456568717957,0.577509880065918,0.6737282872200012,0.8199343681335449,0.49544423818588257,0.5101642608642578,0.3328569531440735,0.6223564743995667,0.1567281037569046,0.7129459977149963,162.65323742574097,52.353592247397756,177.35649971719897,174.92223470132276
18,0.7178526520729065,0.37870681285858154,0.6765566468238831,0.5782720446586609,0.6736132502555847,0.8201711773872375,0.4964623749256134,0.5139279961585999,0.33265331387519836,0.6239916682243347,0.15594251453876495,0.7129561305046082,161.04189299379286,50.8417578627154,178.2570848228394,175.10769036257952
19,0.7179870009422302,0.391253262758255,0.6726706624031067,0.5788214206695557,0.6741791367530823,0.8232969045639038,0.49831339716911316,0.5170827507972717,0.33277061581611633,0.6249710917472839,0.15492656826972961,0.7146366834640503,156.12752736702527,48.89699834987351,177.7263053877957,175.70073815967683
20,0.7192491888999939,0.3952121436595917,0.6695061922073364,0.5779465436935425,0.6741787195205688,0.8232387900352478,0.49828481674194336,0.5219520926475525,0.3312183916568756,0.6270325183868408,0.1532278060913086,0.714736819267273,152.23637262459266,46.29432123897141,178.3979377055604,176.00811377187173
21,0.7210908532142639,0.4025691747665405,0.6647506952285767,0.5745214819908142,0.6743484139442444,0.8232067823410034,0.49974343180656433,0.5252765417098999,0.3312850296497345,0.6314148306846619,0.1532229483127594,0.7158770561218262,145.85469805477055,42.460607069444336,177.8044071751685,175.4247939199495
22,0.7232309579849243,0.4149344563484192,0.6619166135787964,0.5708885192871094,0.6745467782020569,0.823112964630127,0.4996912181377411,0.5320606827735901,0.3303455412387848,0.6362414360046387,0.15150752663612366,0.7159284353256226,139.96137914076576,38.62683599475241,177.33368235289828,174.9826853175958
23,0.7237722873687744,0.4159794747829437,0.6600965261459351,0.5674826502799988,0.6745726466178894,0.8224731087684631,0.49991512298583984,0.5318924784660339,0.3324727714061737,0.6393479704856873,0.15283159911632538,0.7157658338546753,137.47020192262386,36.99452648608461,176.39014769186286,173.60819224926297
24,0.7261580228805542,0.43328016996383667,0.6566659212112427,0.5678219795227051,0.6749202013015747,0.822480320930481,0.5010678172111511,0.538361668586731,0.33257272839546204,0.6409651637077332,0.15405747294425964,0.715756893157959,130.17837274154942,32.72706111747638,175.80575911235812,174.35299805065526
25,0.7278314828872681,0.449942409992218,0.6523755192756653,0.5698332190513611,0.675085186958313,0.8224444389343262,0.5015469789505005,0.555545449256897,0.332527220249176,0.6475323438644409,0.15421123802661896,0.715240478515625,122.70835974373368,27.079888755766206,177.68767403799458,175.03531961773146
26,0.7327296733856201,0.4620973467826843,0.6536262035369873,0.5699421167373657,0.6747604012489319,0.8222014307975769,0.5042924284934998,0.5597995519638062,0.33241063356399536,0.6513834595680237,0.15409713983535767,0.714824914932251,119.01234299366381,23.956627676880967,176.84278143376187,174.63269233215163
27,0.7346567511558533,0.480037659406662,0.6525171399116516,0.5708315372467041,0.6746528744697571,0.8189163208007812,0.5065438151359558,0.5682837963104248,0.3324597477912903,0.6562455892562866,0.1538706123828888,0.7147186994552612,112.85847507515285,19.595463835351442,176.41013730986847,174.56903029900863
28,0.7371311187744141,0.4918064773082733,0.6533041596412659,0.5707105994224548,0.6746492385864258,0.8185985684394836,0.5084847211837769,0.5764746069908142,0.33565086126327515,0.661281168460846,0.15587614476680756,0.7146545052528381,109.19642033085952,16.13355650845833,176.3361839774546,174.0509610322188
