frame,shoulder_x,shoulder_y,elbow_x,elbow_y,wrist_x,wrist_y,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y,elbow_angle,shoulder_angle,hip_angle,knee_angle
1,0.6329983472824097,0.46934059262275696,0.6349740624427795,0.6521269083023071,0.6565655469894409,0.8387703895568848,0.47268936038017273,0.5884739756584167,0.3252066373825073,0.6929161548614502,0.1630762666463852,0.7568872570991516,169.4795060410746,68.41489459009307,179.03357058451363,170.79405239505522
2,0.6317216157913208,0.458401083946228,0.6349297165870667,0.6275213360786438,0.6566430926322937,0.832869291305542,0.47227922081947327,0.5846351981163025,0.32432296872138977,0.6929419636726379,0.15883834660053253,0.7577623724937439,171.28518191857387,67.92596351595614,178.37442770798148,170.04560153363573
3,0.6331226229667664,0.45987945795059204,0.6353880763053894,0.6295125484466553,0.6543205976486206,0.8294195532798767,0.4728556275367737,0.5891459584236145,0.321199506521225,0.6968531012535095,0.1567400097846985,0.7577628493309021,171.80297041457789,66.95649617792793,177.37268863714183,169.9917998172559
4,0.6338207721710205,0.4568498134613037,0.6337078213691711,0.623142659664154,0.6543565988540649,0.8267626762390137,0.4727776348590851,0.5915881991386414,0.3203069567680359,0.6979374289512634,0.15338726341724396,0.7579478621482849,169.71121457813226,64.72813649657807,176.2197422797138,170.0102155711065
5,0.6367453336715698,0.46543088555336,0.6339035034179688,0.6293392777442932,0.6542801260948181,0.8271565437316895,0.4730914533138275,0.6086246371269226,0.3192620873451233,0.7033417820930481,0.1514291912317276,0.7577847838401794,167.85727461327818,62.02923645087993,172.89809562040688,171.23750882544573
6,0.6363633275032043,0.4654286503791809,0.6330853700637817,0.629920244216919,0.6543019413948059,0.8270068168640137,0.4730275571346283,0.6070267558097839,0.32090798020362854,0.7075207829475403,0.15175874531269073,0.7577697038650513,167.13677959659083,61.9753382444761,174.3894705068712,169.10138660951023
7,0.6364527940750122,0.46858349442481995,0.6331061124801636,0.6396965980529785,0.6547666788101196,0.827997624874115,0.4730397164821625,0.6153785586357117,0.3196698725223541,0.7100056409835815,0.1519196331501007,0.7577160596847534,166.4509459164369,61.20125313949781,172.33221734636817,169.94972760841
8,0.6363392472267151,0.46919259428977966,0.6330975890159607,0.6422231197357178,0.6552362442016602,0.8281312584877014,0.47303828597068787,0.6153424382209778,0.31910839676856995,0.7108799815177917,0.15105731785297394,0.7575063109397888,166.13912563600002,61.37072744658452,172.52338462097708,169.62537978028624
9,0.6367056965827942,0.4749733805656433,0.6324979662895203,0.6444822549819946,0.6554238200187683,0.8281665444374084,0.4723634421825409,0.6189827919006348,0.31665030121803284,0.7106660008430481,0.1498112827539444,0.757685661315918,164.96270362592844,61.23421514347669,172.08577484562645,170.68324923102438
10,0.6375029683113098,0.4794341027736664,0.6289710402488708,0.6408888101577759,0.6551204323768616,0.8271677494049072,0.47237321734428406,0.6210989356040955,0.3180159628391266,0.7136099338531494,0.14996440708637238,0.7566764950752258,160.62057215072227,58.87258900965097,172.86965603671268,169.57262264864568
11,0.6387884020805359,0.4868725836277008,0.6271005272865295,0.6416231393814087,0.6551259756088257,0.8259097337722778,0.47252240777015686,0.6222177147865295,0.318119078874588,0.713289201259613,0.15018309652805328,0.7573248147964478,157.22400759014903,57.75000353343663,173.75213838549172,170.0357150711404
12,0.6413633823394775,0.4995668828487396,0.6237019896507263,0.6454423069953918,0.6550461649894714,0.8260434865951538,0.47245854139328003,0.6259587407112122,0.3176679313182831,0.7136818170547485,0.15033817291259766,0.7573276162147522,150.70587905487693,55.025852805736854,174.85407072329411,170.66566176728773
13,0.6438397765159607,0.5148239731788635,0.6168510913848877,0.6468233466148376,0.654003918170929,0.8231555223464966,0.472601056098938,0.6285056471824646,0.32050731778144836,0.713825523853302,0.15058176219463348,0.7573622465133667,139.4898685268671,49.547299445780354,177.035615834719,170.6880771909482
14,0.6504018902778625,0.5356482863426208,0.6146511435508728,0.6489024758338928,0.6518146395683289,0.820408821105957,0.4739183485507965,0.6362863183021545,0.3223784565925598,0.716915488243103,0.1520487666130066,0.7584897875785828,129.63148131279664,42.91521358239707,178.87758171673684,171.15583688173098
15,0.6542361974716187,0.551805317401886,0.6124564409255981,0.6492336392402649,0.6513869166374207,0.8186236023902893,0.4750760793685913,0.6422338485717773,0.32413139939308167,0.721320390701294,0.15471170842647552,0.759450376033783,120.45562188812839,36.829694290818125,179.4287644582933,170.793905711775
16,0.6573288440704346,0.5710045695304871,0.6064459681510925,0.6543096899986267,0.6514331102371216,0.8178704977035522,0.4754959046840668,0.6590611338615417,0.3233812749385834,0.727027416229248,0.15448783338069916,0.7606788277626038,106.58515949126698,27.404817446102353,178.8701464754358,172.28683723916035
17,0.6599941849708557,0.5856461524963379,0.6053421497344971,0.6541007161140442,0.6503021717071533,0.8177443742752075,0.4775432348251343,0.6735774874687195,0.32457494735717773,0.733424723148346,0.15656080842018127,0.7611409425735474,99.13463093978456,19.999043986853565,177.24337826879128,172.89004577592158
18,0.6654557585716248,0.6131789088249207,0.6073656678199768,0.6541562676429749,0.6503477096557617,0.8179145455360413,0.4797694981098175,0.6905413866043091,0.32539448142051697,0.7377074360847473,0.1568216234445572,0.7611849904060364,86.62825918349444,8.453358674854345,176.5621023173721,174.72785083360193
19,0.6749115586280823,0.6417301893234253,0.6079837679862976,0.653645932674408,0.6503629684448242,0.8185293674468994,0.4806479811668396,0.7050201296806335,0.32528889179229736,0.7464914321899414,0.15699860453605652,0.7619763612747192,71.16166306579915,4.66582730830253,178.15458010813867,174.42350897713592
20,0.6783220767974854,0.6556314826011658,0.6079551577568054,0.6498587727546692,0.6492948532104492,0.81988525390625,0.48136845231056213,0.7177827954292297,0.32158592343330383,0.755936324596405,0.15698197484016418,0.7651413679122925,63.98181864554712,12.707502316995118,177.58455125926434,174.15176213745974
21,0.6809585690498352,0.671271026134491,0.608554482460022,0.6499243378639221,0.6492143869400024,0.8230209946632385,0.4829939603805542,0.7179222702980042,0.321687787771225,0.7637969851493835,0.15696018934249878,0.7686691880226135,57.918589545623206,16.967104372901822,178.46212643519198,171.8644241362941
22,0.6890153884887695,0.685363233089447,0.6103545427322388,0.648506760597229,0.6479043960571289,0.8259623050689697,0.4882725179195404,0.7326650023460388,0.32403406500816345,0.7654785513877869,0.1582709699869156,0.7687627077102661,54.61963646163718,22.315246685189177,178.86197243015297,174.22633260513274
23,0.6875279545783997,0.6878176927566528,0.6105154156684875,0.6524926424026489,0.6502532958984375,0.8297305703163147,0.48976361751556396,0.7272640466690063,0.324533075094223,0.7696078419685364,0.15865270793437958,0.7722674608230591,53.800709204695806,20.869244696366454,178.19882546216414,172.3139034599992
24,0.6878766417503357,0.6952385306358337,0.6110737323760986,0.6543782353401184,0.6505610942840576,0.8340752124786377,0.49174967408180237,0.7368288636207581,0.32586801052093506,0.7740234732627869,0.15959662199020386,0.7735384702682495,52.00133090560448,23.462511804412006,179.61373516716247,172.7174682304661
